,Alert,Coordinates,CDI,Code,Detail,Depth,Magnitude,Waveform,ID,Felt,Gap,MMI,Net,NST,RMS,Place,Sig,Sources,Status,Time,Title,Tsunami,Type,TZ,Updated,URL
10,,"[-151.3103, 60.1037, 67.5]",,0191fn2b9f,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fn2b9f&format=geojson,,1.4,ml,",ak0191fn2b9f,",,,,ak,,0.55,"29km S of Cohoe, Alaska",30,",ak,",reviewed,1548975100726,"M 1.4 - 29km S of Cohoe, Alaska",0,earthquake,-540.0,1550269784387,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fn2b9f
11,,"[147.4778, -6.5897, 35]",,2000jhft,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jhft&format=geojson,8.456,4.5,mb,",us2000jhft,",,159.0,,us,,0.41,"43km W of Finschhafen, Papua New Guinea",312,",us,",reviewed,1548975038880,"M 4.5 - 43km W of Finschhafen, Papua New Guinea",0,earthquake,600.0,1555614582040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jhft
12,,"[-116.334, 33.5013333, 10.21]",,38214567,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38214567&format=geojson,0.07971,1.92,ml,",ci38214567,",,32.0,,ci,66.0,0.18,"18km S of La Quinta, CA",57,",ci,",reviewed,1548974974680,"M 1.9 - 18km S of La Quinta, CA",0,earthquake,-480.0,1549032414640,https://earthquake.usgs.gov/earthquakes/eventpage/ci38214567
13,,"[-116.8163333, 33.7188333, 15.44]",,38214559,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38214559&format=geojson,0.0855,0.51,ml,",ci38214559,",,178.0,,ci,11.0,0.08,"8km ESE of Valle Vista, CA",4,",ci,",reviewed,1548974933290,"M 0.5 - 8km ESE of Valle Vista, CA",0,earthquake,-480.0,1549032348221,https://earthquake.usgs.gov/earthquakes/eventpage/ci38214559
14,,"[-155.3295, 58.173, 5]",,0191fn1gaa,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fn1gaa&format=geojson,,1.5,ml,",ak0191fn1gaa,av61908126,",,,,ak,,0.61,"93km SE of King Salmon, Alaska",35,",ak,av,",reviewed,1548974858787,"M 1.5 - 93km SE of King Salmon, Alaska",0,earthquake,-540.0,1557976994570,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fn1gaa
15,,"[-122.8248367, 38.8126678, 1.67]",,73138691,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73138691&format=geojson,0.005089,1.03,md,",nc73138691,",,84.0,,nc,13.0,0.04,"7km WNW of The Geysers, CA",16,",nc,",automatic,1548974710340,"M 1.0 - 7km WNW of The Geysers, CA",0,earthquake,-480.0,1548976264408,https://earthquake.usgs.gov/earthquakes/eventpage/nc73138691
16,,"[-66.507, 18.534, 11]",,2019031029,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2019031029&format=geojson,0.0612,2.65,md,",pr2019031029,",,215.0,,pr,11.0,0.12,"8km NNW of Tierras Nuevas Poniente, Puerto Rico",108,",pr,",reviewed,1548974465470,"M 2.7 - 8km NNW of Tierras Nuevas Poniente, Puerto Rico",0,earthquake,-240.0,1548984954832,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019031029
17,,"[-105.0977, -4.6385, 10]",,2000jbja,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jbja&format=geojson,22.727,4.9,mb,",us2000jbja,",,143.0,,us,,0.66,Central East Pacific Rise,369,",us,",reviewed,1548974400590,M 4.9 - Central East Pacific Rise,0,earthquake,-420.0,1555614567040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jbja
18,,"[-117.964, 35.979, 2.77]",,38214551,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38214551&format=geojson,0.06622,0.02,ml,",ci38214551,",,274.0,,ci,8.0,0.13,"7km NW of Little Lake, CA",0,",ci,",reviewed,1548974220450,"M 0.0 - 7km NW of Little Lake, CA",0,earthquake,-480.0,1549046814682,https://earthquake.usgs.gov/earthquakes/eventpage/ci38214551
19,,"[-118.809, 37.6423333, 2.75]",,73138681,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73138681&format=geojson,0.02178,0.67,md,",nc73138681,",,130.0,,nc,16.0,0.03,"14km NW of Toms Place, CA",7,",nc,",reviewed,1548974138180,"M 0.7 - 14km NW of Toms Place, CA",0,earthquake,-480.0,1548983944145,https://earthquake.usgs.gov/earthquakes/eventpage/nc73138681
20,,"[-98.2109, 36.4757, 5]",2.2,2000jbiq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jbiq&format=geojson,0.14,2.3,mb_lg,",us2000jbiq,",2.0,63.0,,us,,0.32,"9km SE of Helena, Oklahoma",82,",us,",reviewed,1548973534770,"M 2.3 - 9km SE of Helena, Oklahoma",0,earthquake,-360.0,1555614557040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jbiq
21,,"[-66.932, 17.9881, 7]",,2019031027,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2019031027&format=geojson,0.1138,1.92,md,",pr2019031027,",,236.0,,pr,3.0,0.17,"1km W of Fuig, Puerto Rico",57,",pr,",reviewed,1548973230440,"M 1.9 - 1km W of Fuig, Puerto Rico",0,earthquake,-240.0,1548984775872,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019031027
22,,"[-122.7611667, 38.8208333, 2.14]",,73138671,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73138671&format=geojson,0.0118,1.2,md,",nc73138671,",,55.0,,nc,32.0,0.08,"3km W of Cobb, CA",22,",nc,",reviewed,1548973060200,"M 1.2 - 3km W of Cobb, CA",0,earthquake,-480.0,1549710545059,https://earthquake.usgs.gov/earthquakes/eventpage/nc73138671
23,,"[-104.5501, 31.6249, 5]",,2000jbl5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jbl5&format=geojson,0.537,2.6,mb_lg,",us2000jbl5,",,71.0,,us,,0.41,"70km NNE of Van Horn, Texas",104,",us,",reviewed,1548973021190,"M 2.6 - 70km NNE of Van Horn, Texas",0,earthquake,-360.0,1555614567040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jbl5
24,,"[-153.3761, 59.8791, 124.2]",,0191fms5p4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fms5p4&format=geojson,,1.7,ml,",ak0191fms5p4,",,,,ak,,0.42,"76km SSW of Redoubt Volcano, Alaska",44,",ak,",reviewed,1548972236312,"M 1.7 - 76km SSW of Redoubt Volcano, Alaska",0,earthquake,-540.0,1550269783103,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fms5p4
25,,"[-67.1348, 18.7545, 6]",,2019031028,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2019031028&format=geojson,0.558,2.6,md,",pr2019031028,",,302.0,,pr,4.0,0.33,"29km N of San Antonio, Puerto Rico",104,",pr,",reviewed,1548972200430,"M 2.6 - 29km N of San Antonio, Puerto Rico",0,earthquake,-240.0,1548984809888,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019031028
26,,"[-122.3683333, 38.5976667, 5.96]",,73138666,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73138666&format=geojson,0.1217,2.02,md,",nc73138666,",,129.0,,nc,43.0,0.19,"8km ENE of Angwin, CA",63,",nc,",reviewed,1548971980810,"M 2.0 - 8km ENE of Angwin, CA",0,earthquake,-480.0,1549678924049,https://earthquake.usgs.gov/earthquakes/eventpage/nc73138666
27,,"[-122.7651667, 38.8218333, 2.17]",3.8,73138651,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73138651&format=geojson,0.009388,2.23,md,",nc73138651,",2.0,36.0,,nc,53.0,0.04,"4km W of Cobb, CA",77,",nc,",reviewed,1548971892910,"M 2.2 - 4km W of Cobb, CA",0,earthquake,-480.0,1549605364265,https://earthquake.usgs.gov/earthquakes/eventpage/nc73138651
28,,"[-116.8171667, 33.3551667, -0.69]",,38214455,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38214455&format=geojson,,0.0,mun,",ci38214455,",,,,ci,,,"4km E of Palomar Observatory, CA",0,",ci,",reviewed,1548971556790,"M 0.0 - 4km E of Palomar Observatory, CA",0,earthquake,-480.0,1548972420509,https://earthquake.usgs.gov/earthquakes/eventpage/ci38214455
29,,"[-152.0068, 61.1826, 100]",,0191fmfr01,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fmfr01&format=geojson,,1.5,ml,",ak0191fmfr01,",,,,ak,,0.68,"67km NW of Nikiski, Alaska",35,",ak,",reviewed,1548971172653,"M 1.5 - 67km NW of Nikiski, Alaska",0,earthquake,-540.0,1550269782494,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fmfr01
30,,"[-176.1685, 51.2413, 10]",,2000jbi7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jbi7&format=geojson,0.718,2.5,ml,",ak0191fme3yh,us2000jbi7,",,247.0,,us,,0.42,"78km SSE of Adak, Alaska",96,",ak,us,",reviewed,1548970724190,"M 2.5 - 78km SSE of Adak, Alaska",0,earthquake,-720.0,1555614567040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jbi7
31,,"[-68.1196, 19.6661, 69]",,2019031026,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2019031026&format=geojson,1.8137,3.22,md,",pr2019031026,us2000jbm7,",,261.0,,pr,4.0,0.46,"63km NNE of Punta Cana, Dominican Republic",160,",pr,us,",reviewed,1548970693690,"M 3.2 - 63km NNE of Punta Cana, Dominican Republic",0,earthquake,-300.0,1555614553040,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019031026
32,,"[-118.8116667, 37.64, 1.87]",,73138641,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73138641&format=geojson,0.01933,0.67,md,",nc73138641,",,199.0,,nc,10.0,0.03,"14km NW of Toms Place, CA",7,",nc,",reviewed,1548970577450,"M 0.7 - 14km NW of Toms Place, CA",0,earthquake,-480.0,1548980763844,https://earthquake.usgs.gov/earthquakes/eventpage/nc73138641
33,,"[-68.9435, 19.4168, 96]",,2019031025,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2019031025&format=geojson,1.0635,2.78,md,",pr2019031025,us2000jbm5,",,262.0,,pr,3.0,0.04,"46km NE of Santa Barbara de Samana, Dominican Republic",119,",pr,us,",reviewed,1548970497220,"M 2.8 - 46km NE of Santa Barbara de Samana, Dominican Republic",0,earthquake,-300.0,1555614557040,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019031025
34,,"[-150.1841, 61.5113, 47.9]",,0191fmbakg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fmbakg&format=geojson,,2.1,ml,",ak0191fmbakg,",,,,ak,,0.45,"12km W of Big Lake, Alaska",68,",ak,",reviewed,1548969935163,"M 2.1 - 12km W of Big Lake, Alaska",0,earthquake,-540.0,1550269781164,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fmbakg
35,,"[-161.9476667, 55.0873333, 7.63]",,61908091,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av61908091&format=geojson,0.2315,1.93,ml,",ak0191fmb0r0,av61908091,",,235.0,,av,10.0,0.14,"50km ESE of Cold Bay, Alaska",57,",ak,av,",reviewed,1548969848830,"M 1.9 - 50km ESE of Cold Bay, Alaska",0,earthquake,-540.0,1557976989200,https://earthquake.usgs.gov/earthquakes/eventpage/av61908091
36,,"[-159.0864, 67.967, 15]",,0191fmand0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fmand0&format=geojson,,2.8,ml,",ak0191fmand0,us2000jbgp,",,,,ak,,0.49,"148km NW of Kobuk, Alaska",121,",ak,us,",reviewed,1548969745565,"M 2.8 - 148km NW of Kobuk, Alaska",0,earthquake,-540.0,1555614567040,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fmand0
37,,"[-152.1174, 60.3638, 91.6]",,0191fm8yi2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fm8yi2&format=geojson,,1.3,ml,",ak0191fm8yi2,",,,,ak,,0.29,"37km ESE of Redoubt Volcano, Alaska",26,",ak,",reviewed,1548969285014,"M 1.3 - 37km ESE of Redoubt Volcano, Alaska",0,earthquake,-540.0,1550269779131,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fm8yi2
38,,"[-149.9354, 61.5185, 42.8]",,0191fm8rmb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fm8rmb&format=geojson,,1.3,ml,",ak0191fm8rmb,",,,,ak,,0.28,"1km ESE of Big Lake, Alaska",26,",ak,",reviewed,1548969236214,"M 1.3 - 1km ESE of Big Lake, Alaska",0,earthquake,-540.0,1550269778492,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fm8rmb
39,,"[-151.6622, 61.5013, 80.2]",,0191fm8i59,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fm8i59&format=geojson,,1.3,ml,",ak0191fm8i59,",,,,ak,,0.51,"90km W of Big Lake, Alaska",26,",ak,",reviewed,1548969152109,"M 1.3 - 90km W of Big Lake, Alaska",0,earthquake,-540.0,1550269777816,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fm8i59
40,,"[-151.7646, 61.7082, 89.8]",,0191fm6awj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fm6awj&format=geojson,,2.0,ml,",ak0191fm6awj,us2000jbfn,",,,,ak,,0.56,"91km W of Willow, Alaska",62,",ak,us,",reviewed,1548968526534,"M 2.0 - 91km W of Willow, Alaska",0,earthquake,-540.0,1555614567040,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fm6awj
41,,"[-149.6905, 62.7348, 8.7]",,0191fm674i,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fm674i&format=geojson,,2.0,ml,",ak0191fm674i,",,,,ak,,1.44,"50km NNE of Talkeetna, Alaska",62,",ak,",automatic,1548968516980,"M 2.0 - 50km NNE of Talkeetna, Alaska",0,earthquake,-540.0,1548969276928,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fm674i
42,,"[128.6544, 2.9232, 226.14]",,2000jbf9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jbf9&format=geojson,2.494,4.6,mb,",us2000jbf9,",,115.0,,us,,0.67,"150km NNE of Tobelo, Indonesia",326,",us,",reviewed,1548967834370,"M 4.6 - 150km NNE of Tobelo, Indonesia",0,earthquake,540.0,1555614567040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jbf9
43,,"[-150.0343, 61.3913, 40.1]",,0191fluavj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fluavj&format=geojson,,1.0,ml,",ak0191fluavj,",,,,ak,,0.35,"15km SSW of Big Lake, Alaska",15,",ak,",reviewed,1548967567464,"M 1.0 - 15km SSW of Big Lake, Alaska",0,earthquake,-540.0,1550269776369,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fluavj
44,,"[-119.728, 39.1045, 11]",,00676500,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00676500&format=geojson,0.101,0.5,ml,",nn00676500,",,150.44,,nn,4.0,0.0494,"5km ENE of Indian Hills, Nevada",4,",nn,",reviewed,1548967026642,"M 0.5 - 5km ENE of Indian Hills, Nevada",0,earthquake,-480.0,1548986734272,https://earthquake.usgs.gov/earthquakes/eventpage/nn00676500
45,,"[-151.3802, 63.2074, 4.4]",,0191flqz4q,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191flqz4q&format=geojson,,1.0,ml,",ak0191flqz4q,",,,,ak,,0.56,"117km NNW of Talkeetna, Alaska",15,",ak,",reviewed,1548966654659,"M 1.0 - 117km NNW of Talkeetna, Alaska",0,earthquake,-540.0,1550269775764,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191flqz4q
46,,"[-122.435333333333, 46.4746666666667, 16.76]",,61510421,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61510421&format=geojson,,1.63,ml,",uw61510421,",,85.0,,uw,24.0,0.11,"15km SW of Morton, Washington",41,",uw,",reviewed,1548965974310,"M 1.6 - 15km SW of Morton, Washington",0,earthquake,-480.0,1548969104910,https://earthquake.usgs.gov/earthquakes/eventpage/uw61510421
47,,"[-118.8859, 38.3743, 9.4]",,00676497,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00676497&format=geojson,0.323,0.5,ml,",nn00676497,",,174.65,,nn,4.0,0.1313,"28km SW of Hawthorne, Nevada",4,",nn,",reviewed,1548965770198,"M 0.5 - 28km SW of Hawthorne, Nevada",0,earthquake,-480.0,1548986732618,https://earthquake.usgs.gov/earthquakes/eventpage/nn00676497
48,,"[-118.8161667, 37.6415, 1.43]",,73138631,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73138631&format=geojson,0.01604,0.68,md,",nc73138631,",,124.0,,nc,15.0,0.03,"14km E of Mammoth Lakes, CA",7,",nc,",reviewed,1548965593540,"M 0.7 - 14km E of Mammoth Lakes, CA",0,earthquake,-480.0,1549307883226,https://earthquake.usgs.gov/earthquakes/eventpage/nc73138631
49,,"[-153.3035, 60.0544, 120.8]",,0191fllrsb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fllrsb&format=geojson,,1.6,ml,",ak0191fllrsb,",,,,ak,,0.49,"57km SSW of Redoubt Volcano, Alaska",39,",ak,",reviewed,1548965175744,"M 1.6 - 57km SSW of Redoubt Volcano, Alaska",0,earthquake,-540.0,1550269774453,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fllrsb
50,,"[-155.1956667, 19.3295, 1.14]",,70792086,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv70792086&format=geojson,0.04787,2.65,ml,",hv70792086,us2000jbeg,",,86.0,,hv,53.0,0.13,"12km SSE of Volcano, Hawaii",108,",hv,us,",reviewed,1548964682010,"M 2.7 - 12km SSE of Volcano, Hawaii",0,earthquake,-600.0,1555614567040,https://earthquake.usgs.gov/earthquakes/eventpage/hv70792086
51,,"[-116.7938333, 33.5211667, 4.96]",,38214295,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38214295&format=geojson,0.06462,0.71,ml,",ci38214295,",,63.0,,ci,26.0,0.11,"11km NE of Aguanga, CA",8,",ci,",reviewed,1548964603240,"M 0.7 - 11km NE of Aguanga, CA",0,earthquake,-480.0,1548966679504,https://earthquake.usgs.gov/earthquakes/eventpage/ci38214295
52,,"[-69.0165, -20.4865, 102.12]",,2000jbe8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jbe8&format=geojson,0.366,4.2,mb,",us2000jbe8,",,92.0,,us,,0.64,"121km ESE of Iquique, Chile",271,",us,",reviewed,1548964189660,"M 4.2 - 121km ESE of Iquique, Chile",0,earthquake,-240.0,1555614567040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jbe8
53,,"[-155.496, 19.1715, 36.42]",,70792066,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv70792066&format=geojson,0.0358,1.9,md,",hv70792066,",,105.0,,hv,51.0,0.11,"4km SSW of Pahala, Hawaii",56,",hv,",reviewed,1548964017580,"M 1.9 - 4km SSW of Pahala, Hawaii",0,earthquake,-600.0,1548969973110,https://earthquake.usgs.gov/earthquakes/eventpage/hv70792066
54,,"[118.1547, -8.3665, 164.21]",,2000jhfl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jhfl&format=geojson,3.688,4.4,mb,",us2000jhfl,",,120.0,,us,,0.6,"17km W of Pali, Indonesia",298,",us,",reviewed,1548963549730,"M 4.4 - 17km W of Pali, Indonesia",0,earthquake,480.0,1555614582040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jhfl
55,,"[-116.7983333, 33.5118333, 4.41]",,38214255,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38214255&format=geojson,0.001768,0.45,ml,",ci38214255,",,57.0,,ci,21.0,0.08,"10km NE of Aguanga, CA",3,",ci,",reviewed,1548963299100,"M 0.5 - 10km NE of Aguanga, CA",0,earthquake,-480.0,1548964603900,https://earthquake.usgs.gov/earthquakes/eventpage/ci38214255
56,,"[-150.0407, 64.2664, 19.4]",,0191fl5wnt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0191fl5wnt&format=geojson,,0.6,ml,",ak0191fl5wnt,",,,,ak,,0.67,"56km SW of North Nenana, Alaska",6,",ak,",reviewed,1548963145161,"M 0.6 - 56km SW of North Nenana, Alaska",0,earthquake,-540.0,1550269773861,https://earthquake.usgs.gov/earthquakes/eventpage/ak0191fl5wnt
57,,"[-116.7425, 33.2265, 10.84]",,38214239,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38214239&format=geojson,0.01659,0.85,ml,",ci38214239,",,57.0,,ci,36.0,0.16,"3km SE of Lake Henshaw, CA",11,",ci,",reviewed,1548963034970,"M 0.9 - 3km SE of Lake Henshaw, CA",0,earthquake,-480.0,1548964177524,https://earthquake.usgs.gov/earthquakes/eventpage/ci38214239
58,,"[-116.7881667, 33.4918333, 4.74]",,38214231,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38214231&format=geojson,0.02287,0.91,ml,",ci38214231,",,34.0,,ci,33.0,0.13,"9km NE of Aguanga, CA",13,",ci,",reviewed,1548962964840,"M 0.9 - 9km NE of Aguanga, CA",0,earthquake,-480.0,1548963632390,https://earthquake.usgs.gov/earthquakes/eventpage/ci38214231
59,,"[-155.2925, 19.4095, 0.18]",,70792026,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv70792026&format=geojson,0.00764,0.57,md,",hv70792026,",,65.0,,hv,21.0,0.09,"6km WSW of Volcano, Hawaii",5,",hv,",reviewed,1548962819350,"M 0.6 - 6km WSW of Volcano, Hawaii",0,earthquake,-600.0,1549049414400,https://earthquake.usgs.gov/earthquakes/eventpage/hv70792026
60,,"[143.7973, 21.4041, 10]",,2000jbed,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jbed&format=geojson,15.233,5.0,mb,",us2000jbed,",,132.0,,us,,0.96,"149km NW of Farallon de Pajaros, Northern Mariana Islands",385,",us,",reviewed,1548962080380,"M 5.0 - 149km NW of Farallon de Pajaros, Northern Mariana Islands",0,earthquake,600.0,1555614567040,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jbed
61,,"[-118.9294, 38.399, 0]",,00676479,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00676479&format=geojson,0.365,1.0,ml,",nn00676479,",,171.17,,nn,4.0,0.0973,"30km WSW of Hawthorne, Nevada",15,",nn,",reviewed,1548961750881,"M 1.0 - 30km WSW of Hawthorne, Nevada",0,earthquake,-480.0,1548986731268,https://earthquake.usgs.gov/earthquakes/eventpage/nn00676479
